alias	category	description	keywords
744-1_Truck.mpd	Technic	A yellow, six-wheeled vehicle with a boxy design and a small antenna on top.	yellow vehicle, six-wheeled, boxy design, antenna, lego
744-1_Windmill.mpd	Technic	A yellow construction vehicle with a crane and a satellite dish mounted on top.	construction vehicle, crane, satellite dish, yellow, technic
7452-1.mpd	Technic	A model car with a transparent body and green chassis, featuring a simple design and basic components.	model car, transparent body, green chassis, simple design, basic components
7453-1.mpd	Vehicles	A toy monster truck with large tires and a yellow and gray color scheme.	monster truck, toy vehicle, large tires, yellow, gray
75010-1.mpd	Technic	A humanoid robot holding a fire extinguisher, with a transparent dome above it.	robot, fire extinguisher, transparent dome, humanoid, technic
75033-1.mpd	Technic	A LEGO model of a soldier with a machine gun, wearing a black hat and a black jacket.	LEGO, soldier, machine gun, black hat, black jacket
75050-1.mpd	Technic	A detailed model of a spaceship with multiple engines and a cockpit, featuring realistic mechanical functions.	spaceship, engines, cockpit, realistic, mechan
75054-1.mpd	Technic	A detailed model of a large, mechanical vehicle with a robust, industrial design.	mechanical vehicle, industrial design, large vehicle, model, technic
75055-1.mpd	Technic	A detailed model of a spaceship with a sleek, futuristic design.	spaceship, futuristic, model, technic, starship
75060-1.mpd	Technic	A detailed model of a spaceship with a futuristic design, featuring a red and white color scheme and intricate mechanical details.	spaceship, futuristic, model, mechan, technic
75075-1.mpd	Technic	A detailed model of a space vehicle with a red light on top, mounted on a stand.	space vehicle, red light, model, spacecraft, stand
75102-1.mpd	Technic	A detailed model of Poe's X-Wing Fighter from Star Wars, featuring realistic mechanical functions and components.	X-Wing Fighter, Poe's X-Wing, Star Wars, Technic, Aircraft
75144-1.mpd	Technic	A detailed model of a spaceship with various weapons and engines, featuring a futuristic design.	spaceship, futuristic, model, weaponry, engines
75155-1.mpd	Technic	A detailed model of a Rebel U-Wing Fighter from the Star Wars universe.	Rebel U-Wing Fighter, Star Wars, U-Wing, fighter, model
75181-1.mpd	Technic	A detailed model of a Y-Wing Starfighter from Star Wars, featuring intricate mechanical components and a realistic design.	Y-Wing Starfighter, Star Wars, model, mechan, spacecraft
75253-1_Gong.mpd	Technic	A detailed model of a construction vehicle with a crane and a flatbed, featuring realistic mechanical functions.	construction vehicle, crane, flatbed, mechanical functions, model
75253-1.mpd	Robots / Mecha	A robot model with a blue and white color scheme, featuring a cylindrical body, mechanical arms, and a head with a red light.	robot, mecha, blue, white, cylindrical
75272-1.mpd	Technic	A model of a Sith Tie Fighter, a spacecraft from the Star Wars universe.	Sith Tie Fighter, Star Wars, spacecraft, model, technic
75276-1.mpd	Technic	A detailed model of a stormtrooper helmet from the Star Wars series.	stormtrooper, Star Wars, helmet, brick model, construction
75277-1.mpd	Technic	A detailed model of a spaceship or vehicle with a futuristic design, featuring a dome-like top and a red and green color scheme.	spaceship, futuristic, model, red, green
75317-1.mpd	Technic	A detailed model of a spaceship or vehicle with various mechanical components and a futuristic design.	spaceship, mechan, futuristic, mechan vehicle, mechan model
75870-1.mpd	Vehicles	A yellow sports car with a driver figure and a robot figure beside it.	sports car, yellow, driver figure, robot figure, side view
75878-1.mpd	Technic	A blue and black car model with a driver figure standing next to it, surrounded by traffic cones.	car model, driver figure, traffic cones, blue car, black car
75892-1.mpd	Technic	A detailed model of a car with a crane attachment, a figure in a suit, and a crane-like structure.	car model, crane attachment, figure in suit, crane-like structure, technic model
75893-1.mpd	Technic	A model of a military vehicle with a crane attachment.	military vehicle, crane attachment, model, technic, construction
75895-1.mpd	Technic	A white sports car model with a sleek design and a modern look.	sports car, sleek design, modern look, white, model
75948-1.mpd	Castle	A medieval-style castle with towers, turrets, and a clock tower.	castle, medieval, towers, clock tower, fortress
75953-1.mpd	Castle	A medieval castle with a large tower and a tree with a face.	castle, medieval, tower, tree, face
75954-1.mpd	Castle	A detailed model of a medieval castle with towers, turrets, and a moat.	castle, medieval, towers, turrets, moat
75966-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a shop with a wooden door, a window, and a signboard.	dollhouse, shop, wooden door, window, signboard
75968-1.mpd	City / Town	A small, quaint house with a blue truck parked outside.	house, blue truck, small house, quaint house, blue vehicle
75969-1.mpd	Castle	A medieval-style castle with multiple towers and turrets.	castle, medieval, towers, turrets, fortress
75980-1.mpd	City / Town	A detailed dollhouse-style build featuring a multi-story building with red and white rooftops.	dollhouse, building, red roof, white roof, multi-story
7601-1.mpd	Technic	A LEGO model of a race car with a yellow and red color scheme.	LEGO, race car, yellow, red, model
7602-1.mpd	Technic	A model of a vehicle built with LEGO bricks, featuring a flat top and four wheels.	LEGO, vehicle, construction, model, technic
7603-1.mpd	Technic	A yellow and gray construction vehicle with large wheels and a flatbed, resembling a bulldozer or a similar heavy machinery.	construction vehicle, bulldozer, heavy machinery, yellow, gray
76042-1.mpd	Technic	A detailed model of a spaceship with multiple landing pads and a central structure.	spaceship, model, landing pads, central structure, technic
7607-1.mpd	Technic	A LEGO model of a butterfly with various colored LEGO pieces forming its wings and body.	LEGO, butterfly, model, construction, technic
7608-1.mpd	Technic	A model of a space shuttle with a blue and white color scheme.	space shuttle, model, blue, white, space
7609-1.mpd	Vehicles	A LEGO model of a rescue chopper with a red rotor and a grey body.	rescue chopper, LEGO, helicopter, red rotor, grey body
7610-1.mpd	Vehicles	A blue and white speedboat with a transparent canopy and circular windows.	speedboat, blue, white, transparent canopy, circular windows
7611-1.mpd	Technic	A black and red police car model with a blue and red light bar on top.	police car, model, black, red, light bar
7612-1.mpd	Technic	A model of a vehicle with a sleek design, featuring a combination of red and black colors.	vehicle, sleek, red, black, model
7613-1.mpd	Technic	A red and white race car model with a sleek design.	race car, sleek design, red, white, model
76139-1.mpd	Vehicles	A detailed model of a 1989 Batmobile from the Batman series.	Batmobile, 1989, Batman, vehicle, model
76161-1.mpd	Technic	A model of a spaceship with a sleek, futuristic design.	spaceship, futuristic, model, craft, aircraft
7630-1.mpd	City / Town	A construction site with a yellow bulldozer and a worker in a hard hat.	construction site, bulldozer, worker, hard hat, yellow
7631-1.mpd	Technic	A yellow construction vehicle with large wheels and a cargo bed, accompanied by a worker figure and tools.	construction vehicle, yellow, cargo bed, worker, tools
7632-1.mpd	Technic	A yellow construction crane with a green and white container being lifted by its hook.	construction crane, yellow, green container, lifting, crane hook
7634-1.mpd	Technic	A red tractor with a transparent cabin and a small LEGO figure standing next to it.	tractor, transparent cabin, red, LEGO, figure
7635-1.mpd	Vehicles	A LEGO model of a truck with a trailer, a horse, and two figures standing next to it.	LEGO, truck, horse, figures, model
7636-1.mpd	Technic	A detailed model of a combine harvester with a green and white color scheme, featuring realistic mechanical components and a small figure standing nearby.	combine harvester, agriculture, harvesting, agricultural machinery, model
7637-1.mpd	Technic	A collection of farm vehicles and structures, including a tractor, a trailer, a barn, and a silo.	tractor, barn, silo, farm, vehicles
7638-1.mpd	Technic	A LEGO tow truck with a crane and a worker figure next to it.	LEGO, tow truck, crane, worker, construction
7639-1.mpd	Vehicles	A LEGO camper van, a bicycle, a surfboard, and two LEGO figures standing next to each other.	LEGO, camper van, bicycle, surfboard, figures
7641-1.mpd	City / Town	A miniature city scene with a fire station, a fire truck, a motorcycle, and a police car.	fire station, fire truck, motorcycle, police car, miniature city
7657-1.mpd	Technic	A detailed model of an AT-ST vehicle from the Star Wars universe.	AT-ST, Star Wars, mechan, vehicle, construction
7667-1.mpd	Technic	A detailed model of an Imperial Dropship from the Star Wars universe.	Imperial Dropship, Star Wars, Dropship, Spacecraft, Model
7685-1.mpd	Technic	A yellow construction vehicle with a large blade and a worker in a red helmet.	construction vehicle, blade, worker, red helmet, yellow
76897-1.mpd	City / Town	A LEGO fire truck with a yellow and white color scheme, equipped with a ladder and other typical fire truck features.	fire truck, LEGO, yellow, white, ladder
7715-1.mpd	Trains	A toy train set with a locomotive and passenger cars on a circular track.	toy train, locomotive, passenger cars, circular track, toy set
7722-1_Combination-with-7865.mpd	Trains	A toy train set with a circular track and a red locomotive.	toy train, circular track, red locomotive, toy set, train set
7725-1.mpd	Trains	A red train on a circular track.	red train, circular track, locomotive, passenger cars, railway
7730-1.mpd	Trains	A toy train set with a locomotive and passenger cars on a circular track.	toy train, locomotive, passenger cars, circular track, train set
7731-1.mpd	City / Town	A yellow fire truck with a red mailbox and a small figure in a red outfit.	fire truck, yellow, red mailbox, red outfit, small figure
7732-1.mpd	Technic	A LEGO model of a small yellow and red airplane with a pilot figure and a ladder beside it.	LEGO, airplane, pilot, ladder, construction
7733-1.mpd	Vehicles	A LEGO model of a truck with a forklift attachment, featuring a green and white color scheme.	LEGO, truck, forklift, construction, model
7735-1_B-Model-from-Instruction.mpd	Trains	A toy train on a circular track with a small figure standing on the train.	toy train, circular track, figure, train, toy
7735-1.mpd	Trains	A colorful train set with a circular track, featuring a yellow and red locomotive and several passenger cars.	train set, circular track, yellow locomotive, red passenger cars, toy train
7736-1.mpd	Technic	A LEGO vehicle with a blue sign on top and a LEGO figure standing next to it.	LEGO, vehicle, sign, figure, construction
7737-1.mpd	Technic	A toy vehicle with a crane attachment, a small figure standing nearby, and a blue sky background.	toy vehicle, crane attachment, small figure, blue sky, background
7740-1.mpd	Trains	A model train set with a circular track and passenger cars.	model train, circular track, passenger cars, train set, model train layout
7741-1.mpd	Technic	A model of a helicopter with a pilot figure next to it.	helicopter, pilot, model, figure, technic
7743-1.mpd	Technic	A model of a space station with a mobile base, a rover, and figures in space suits.	space station, mobile base, rover, space suits, figures
7745-1.mpd	Trains	A model train set with a red and white passenger car on a circular track.	model train, circular track, red passenger car, train set, model railway
7746-1.mpd	Technic	A yellow construction vehicle with a crane and workers in hard hats.	construction vehicle, crane, workers, hard hats, yellow
7747-1.mpd	City / Town	A construction site featuring a red fire truck, a yellow utility truck, and a worker standing near a large white wind turbine.	fire truck, utility truck, wind turbine, construction site, worker
7750-1.mpd	Trains	A LEGO train model with a black locomotive and a red cargo car.	LEGO train, black locomotive, red cargo car, LEGO model, train set
7755-1.mpd	Vehicles	A red and gray LEGO train with the number 1155 on the side.	LEGO train, red train, gray train, number 1155, LEGO model
7760-1.mpd	Vehicles	A LEGO train with a blue caboose and a cargo car, accompanied by two LEGO figures in red hats.	LEGO train, cargo train, cargo car, cargo train, cargo car
7784-1.mpd	Vehicles	A detailed model of a Batmobile with bat-shaped wings.	Batmobile, Batman, car, vintage, model
77904-1.mpd	Technic	A detailed model of a space station or spaceport with a large crane-like structure and various modules attached.	space station, crane, modules, spaceport, model
7796-1.mpd	City / Town	A small, detailed LEGO house with a gray roof and a chimney.	LEGO, house, gray roof, chimney, construction
7800-1.mpd	Technic	A model of a vehicle with a robust, industrial design, featuring large wheels and a sturdy frame.	vehicle, robust, industrial, wheels, frame
7801-1.mpd	Technic	A red and gray model car with a sleek design, featuring a black roof and a small yellow detail on the front.	car, red, sleek, model, technic
7802-1.mpd	Technic	A detailed model of a vehicle with a sleek, futuristic design.	vehicle, futuristic, model, design, technic
7803-1.mpd	Technic	A red and gray model vehicle with a flatbed and wheels, resembling a construction or utility vehicle.	red vehicle, gray vehicle, construction vehicle, flatbed, wheels
7808-1.mpd	Technic	A LEGO model of a small airplane with a red nose and yellow wings.	LEGO, airplane, red nose, yellow wings, model
7810-1.mpd	Trains	A LEGO train model with the number 7810, featuring a locomotive and a passenger car.	LEGO, 7810, locomotive, passenger car, train model
7813-1.mpd	Technic	A LEGO model of a vehicle with a yellow and red engine and a gray body, featuring a small figure in a white outfit and red helmet standing next to it.	LEGO, vehicle, engine, figure, white outfit
7815-1.mpd	Trains	A model train car with a red and yellow exterior, featuring windows and a roof with snow-like detailing.	model train, red train, yellow train, snow detailing, windowed car
7816-1.mpd	Vehicles	A LEGO model of a Shell fuel tanker train car with a worker figure next to it.	LEGO, Shell, fuel tanker, train car, worker figure
7817-1.mpd	Vehicles	A LEGO model of a cargo train with a crane and containers.	cargo train, crane, containers, LEGO, model
7819-1.mpd	Vehicles	A model train car with a red and yellow exterior, featuring a small chimney and windows.	train car, red, yellow, chimney, windows
7821-1_B-Model-from-Instruction.mpd	City / Town	A LEGO fire truck with an extended ladder, two LEGO firefighters, and a yellow hose.	fire truck, firefighter, lego, extending ladder, yellow hose
7821-1.mpd	City / Town	A LEGO model of a construction site with a truck, a street lamp, and two workers.	LEGO, construction site, truck, street lamp, workers
7822-1.mpd	Technic	A detailed model of a construction site with machinery and equipment.	construction site, machinery, equipment, model, technic
7823-1.mpd	City / Town	A model of a fire station with a crane and a fire truck.	fire station, crane, fire truck, model, city
7824-1.mpd	Trains	A model train station with a red train, workers, and a platform.	train station, red train, workers, platform, model train
7834-1.mpd	City / Town	A small town scene with a house, a tree, and a railway crossing.	house, tree, railway crossing, small town, city
7835-1.mpd	City / Town	A model of a city intersection with traffic lights, barriers, and a pedestrian crossing.	intersection, traffic lights, barriers, pedestrian crossing, model
7839-1.mpd	Trains	A model train set with a red and white locomotive on tracks, a red platform with a small figure, and a control tower.	train set, locomotive, red platform, control tower, model train
7866-1.mpd	Technic	A detailed model of a railway crossing with a red and white signal tower, a control booth, and a platform with a red and white striped pole.	railway crossing, signal tower, control booth, red and white, railway model
7875-1.mpd	City / Town	A yellow construction vehicle resembling a backhoe.	construction vehicle, backhoe, yellow, construction site, toy
7893-1.mpd	Technic	A LEGO model of an airplane with a detailed cockpit and landing gear, featuring a blue and white color scheme.	LEGO, airplane, model, blue, white
7902-1.mpd	City / Town	A LEGO fire truck with a firefighter character next to it.	fire truck, firefighter, LEGO, character, city
7903-1.mpd	Technic	A model of a space shuttle with a red and white color scheme, featuring a launch pad and astronauts in space suits.	space shuttle, launch pad, astronauts, space suit, model
7910-1.mpd	Robots / Mecha	A humanoid robot with a mechanical body and a large axe on its back.	robot, mecha, axe, mechanical, humanoid
7911-1.mpd	Vehicles	A LEGO model of a tugboat with a red hull, gray engine, and a small cabin on top.	tugboat, LEGO, red hull, gray engine, cabin
7912-1.mpd	Technic	A LEGO helicopter with a yellow body and gray blades.	LEGO, helicopter, yellow, gray, blade
7936-1.mpd	City / Town	A construction site with a yellow excavator, a worker in a hard hat, and railway tracks.	excavator, construction site, railway tracks, worker, hard hat
7942-1.mpd	City / Town	A red fire truck with an extended ladder and a firefighter figure standing next to it.	fire truck, firefighter, red, extended ladder, figure
7990-1.mpd	Vehicles	A LEGO construction vehicle with a blue and white color scheme, featuring a cement mixer attachment.	LEGO, construction vehicle, cement mixer, blue, white
7991-1.mpd	Technic	A LEGO model of a construction vehicle with various mechanical components and a worker figure.	LEGO, construction vehicle, mechanical components, worker figure, technic
7992-1.mpd	Technic	A LEGO construction featuring a crane, a green vehicle, and a red building with yellow details.	crane, LEGO, construction, green vehicle, red building
7997-1.mpd	Trains	A LEGO train station with a yellow building, a platform, and people standing on it.	LEGO train station, yellow building, platform, people, LEGO train
8001-1_AT---ST.mpd	Technic	A complex mechanical model with multiple articulated joints and gears, resembling a humanoid figure.	mechanical, articulated, gears, complex, model
8001-1.mpd	Robots / Mecha	A humanoid robot with a mechanical and intricate design, holding a weapon.	robot, mecha, weapon, mechan, mechan robot
8002-1.mpd	Technic	A complex mechanical model with various gears, axles, and mechanical components.	mechanical model, complex gears, axles, mechanical components, technic
8012-1.mpd	Robots / Mecha	A humanoid robot with a mechanical design, featuring articulated limbs and joints.	mecha, robot, mechanoid, mechoid, mechan
8020-1_Chopper.mpd	Technic	A LEGO model of a construction site with a crane and scaffolding.	LEGO, construction site, crane, scaffolding, building
8020-1_Dozer.mpd	Technic	A yellow construction vehicle with a shovel attachment and a gear on top.	construction vehicle, shovel attachment, yellow, gear, technic
8020-1_Jeep.mpd	Technic	A yellow LEGO model of a construction vehicle with a large gear on top.	LEGO, construction vehicle, yellow, gear, model
8020-1_Truck.mpd	Technic	A yellow LEGO model with gears, axles, and wheels, resembling a construction vehicle.	LEGO, construction vehicle, gears, axles, wheels
8020-1_Van.mpd	Technic	A yellow LEGO vehicle with a gear on top, resembling a construction or utility vehicle.	LEGO, vehicle, yellow, gear, construction
8020-1_Windmill.mpd	Technic	A LEGO model of a construction site with a crane and scaffolding.	LEGO, construction site, crane, scaffolding, building
8022-1_Plane.mpd	Technic	A LEGO Technic model of a plane with a yellow propeller and a grey body.	LEGO, Technic, plane, yellow propeller, grey body
8022-1_Racecar.mpd	Technic	A LEGO Technic Starter Set Racecar with gears, axles, and wheels.	LEGO, Technic, Starter Set, Racecar, Gears
8022-1_Robot.mpd	Technic	A robot model built with LEGO Technic pieces.	LEGO, Technic, Robot, Construction, Mechanical
8022-1_Tow-Truck.mpd	Technic	A model of a tow truck from the LEGO Technic series.	tow truck, LEGO, Technic, construction vehicle, mechan
8024-1_120270---Racer.mpd	Technic	A red race car model with a detailed design, featuring a number '1' on the side.	red race car, number 1, detailed design, technic model, car model
8028-1.mpd	Technic	A model of a TIE Fighter from the Star Wars universe, featuring intricate details and mechanical components.	TIE Fighter, Star Wars, mechan, model, aircraft
8029-1.mpd	Vehicles	A model of a Snowspeeder from the Star Wars universe.	Snowspeeder, Star Wars, Spaceship, Vehicles, Model
8031-1.mpd	Technic	A detailed model of a vehicle with a red and white color scheme, featuring various mechanical components and parts.	vehicle, model, red, white, mechanical
8032-1_Bull.mpd	Technic	A red and gray model of a bull with a bullhorn on its back, featuring a detailed mechanical design.	red bull, gray bull, bull model, mechanical bull, universal set
8032-1_Cabrio.mpd	Technic	A red LEGO vehicle resembling a classic off-road car with a cabriolet roof.	LEGO, car, red, cabriolet, off-road
8032-1_Gymnast.mpd	Technic	A mechanical model featuring gears and axles, designed to resemble a gymnast.	mechanical model, gears, axles, gymnast, universal set
8032-1_Helicopter.mpd	Technic	A red helicopter model with a detailed structure, including rotors, landing gear, and a tail rotor.	helicopter, red, rotors, landing gear, tail rotor
8032-1_Tow-Truck.mpd	Technic	A red tow truck model built with LEGO pieces.	LEGO, tow truck, red, construction, model
8032-1.mpd	Technic	A LEGO model of a sawer with gears and a red base.	LEGO, sawer, gears, mechan, construction
8033-1.mpd	Technic	A model of a General Grievous Starfighter from the Star Wars universe.	General Grievous, Star Wars, Starfighter, Model, Technic
8049-1_Log-Handler.mpd	Technic	A model of a tractor with a log loader attachment.	tractor, log loader, log handler, mechanical model, construction vehicle
8049-1.mpd	Technic	A model of a tractor with a log loader attachment.	tractor, log loader, model, mechanical, agriculture
8054-1_Model-A.mpd	Technic	A yellow and gray construction vehicle with tracks and a motor.	construction vehicle, tracks, motor, yellow, gray
8054-1_Model-C.mpd	Technic	A yellow construction vehicle with a crane and wheels, built using LEGO Technic pieces.	construction vehicle, crane, LEGO Technic, yellow, wheels
8054-1_Model-D.mpd	Technic	A model of a vehicle with a crane and a long arm, featuring a 4.5v motor.	crane, long arm, 4.5v motor, model, vehicle
8062-1_Crane.mpd	Technic	A construction vehicle model with a crane and storage case.	construction vehicle, crane, storage case, model, technic
8062-1_Helicopter.mpd	Technic	A helicopter model with a storage case, featuring a yellow and gray color scheme.	helicopter, storage case, yellow, gray, model
8062-1_Rower.mpd	Technic	A LEGO model of a rower with a yellow boat and a black figure on it.	LEGO, rower, boat, figure, yellow
8062-1_Smale-Vehicle.mpd	Technic	A small vehicle model built with LEGO pieces, featuring a yellow and gray color scheme.	LEGO, vehicle, construction, model, technic
8062-1_Truck-with-Motorbike.mpd	Technic	A yellow construction vehicle with a motorbike attachment, featuring a storage case.	construction vehicle, motorbike attachment, storage case, yellow, universal set
8062-1.mpd	Technic	A model set with a yellow and gray color scheme, featuring a mechanical structure with gears and a chain mechanism.	mechanical model, gears, chain, yellow, gray
8063-1_Sower.mpd	Technic	A detailed model of a tractor with a sowing machine attached.	tractor, sowing machine, agriculture, model, realistic
8063-1.mpd	Technic	A model of a tractor with a trailer, featuring a red and green color scheme.	tractor, trailer, red, green, model
8074-1_Crane.mpd	Technic	A complex mechanical model featuring a crane and various mechanical components.	crane, mechanical, construction, model, technic
8074-1_Mini-Loader.mpd	Technic	A yellow construction vehicle with a crane and wheels.	construction vehicle, crane, yellow, wheels, building
8074-1_Road-Grader.mpd	Technic	A model of a construction vehicle with a crane attachment.	construction vehicle, crane attachment, model, technic, construction machinery
8074-1_Tractor.mpd	Technic	A construction vehicle with a crane attachment.	construction vehicle, crane attachment, building machinery, mechan, construction site
8081-1_Hot-Rod.mpd	Technic	A detailed model of a vehicle with a robust chassis and large tires, featuring a mix of red and gray components.	vehicle, model, robust, large tires, red and gray
8081-1.mpd	Technic	A detailed model of a vehicle with a red and black color scheme, featuring a roof rack and a driver's seat.	vehicle, model, red, black, roof rack
8099-1.mpd	Technic	A detailed model of a spaceship with intricate details and a sleek design.	spaceship, model, technic, details, sleek
8110-1.mpd	Technic	A detailed model of a Mercedes-Benz Unimog U 400, showcasing realistic mechanical functions and components.	Mercedes-Benz Unimog, U 400, construction vehicle, realistic model, technical details
8119-1_Combination-with-8122.mpd	Technic	A yellow and black construction vehicle with large wheels and a flatbed, resembling a bulldozer or a similar heavy machinery.	construction vehicle, bulldozer, heavy machinery, yellow, black
8119-1.mpd	Technic	A black and green Technic model car with a sleek design.	Technic, car, black, green, sleek
8120-1_Combinaton-with-8121.mpd	Technic	A model of a futuristic vehicle with a sleek, angular design.	futuristic, vehicle, angular, model, technic
8120-1.mpd	Technic	A model car with a sleek design, featuring a roof rack and a front grille.	model car, sleek design, roof rack, front grille, technic
8121-1_Combination-with-8120.mpd	Technic	A model of a futuristic vehicle with a sleek, angular design.	futuristic, vehicle, angular, model, technic
8121-1.mpd	Technic	A model car with a sleek design, featuring a black and white color scheme.	model car, sleek design, black and white, car model, technic model
8122-1_Combination-with-8119.mpd	Technic	A yellow and black construction vehicle with large wheels and a flatbed, designed for heavy-duty tasks.	construction vehicle, heavy-duty, flatbed, large wheels, yellow
8122-1.mpd	Technic	A yellow construction vehicle with a crane and tracks.	construction vehicle, crane, tracks, yellow, vehicle
8123-1.mpd	Vehicles	A race car model with a sleek design, painted in bright red, positioned on a flat surface with a flag and a banner in the background.	race car, red, sleek, model, flag
8124-1.mpd	Technic	A model of a car undergoing a test on a road with various sensors and lights around it.	car, test, road, sensors, lights
8125-1.mpd	Technic	A model of a car and a truck on a road with traffic lights and road signs.	model car, model truck, road, traffic lights, road signs
8126-1.mpd	Technic	A model of a construction site with two vehicles, a crane, and a flag.	construction site, crane, vehicles, flag, model
8130-1_Combination-with-8131.mpd	Technic	A model of a vehicle with a red and black color scheme, featuring a flatbed and large wheels.	vehicle, model, red, black, flatbed
8130-1.mpd	Technic	A red and black Technic model vehicle with a roof, wheels, and a small antenna.	Technic, model vehicle, red, black, roof
8131-1_Combination-with-8130.mpd	Technic	A model of a vehicle with a red and black color scheme, featuring large wheels and a compact body.	vehicle, model, red, black, compact
8131-1.mpd	Technic	A model car with a sleek design, featuring a yellow and white color scheme.	model car, sleek design, yellow, white, car model
8132-1_Combination-with-8133.mpd	Technic	A detailed model of a race car with a sleek design and green accents.	race car, sleek design, green accents, model, technic
8132-1.mpd	Technic	A black and gray Technic model car with a sleek design and a large rear wing.	Technic, car, sleek, rear wing, model
8133-1_Combination-with-8132.mpd	Technic	A detailed model of a race car with a sleek design and green accents.	race car, sleek design, green accents, model, technic
8133-1.mpd	Technic	A detailed model of a vehicle with a green and black color scheme, featuring a flatbed trailer and a large, robust chassis.	vehicle, model, flatbed trailer, robust, green
8134-1.mpd	Technic	A collection of model vehicles including a truck, a monster truck, and a car, all featuring realistic mechanical functions.	model vehicles, monster truck, car, truck, realistic mechanics
8135-1.mpd	Technic	A collection of model vehicles and machinery, including cars, a crane, and a conveyor belt, arranged in a linear formation.	model vehicles, crane, conveyor belt, linear formation, collection
8143-1.mpd	Technic	Two toy cars, one red and one yellow, with detailed features.	toy cars, red car, yellow car, detailed features, toy vehicles
8147-1.mpd	Technic	A collection of various vehicles and mechanical components arranged in an isometric view.	vehicles, mechan, components, isometric, arrangement
8148-1_Combination-with-8151.mpd	Technic	A detailed model of a construction vehicle with a crane and various attachments.	construction vehicle, crane, attachments, model, technic
8148-1.mpd	Technic	A black and yellow Technic model car with a sleek design.	Technic, car, sleek, black, yellow
8149-1_Combination-with-8150.mpd	Technic	A red and gray model vehicle with a crane-like structure on top.	model vehicle, crane, red, gray, technic
8149-1.mpd	Technic	A model car with a sleek design and a roof spoiler.	car, sleek, model, roof spoiler, technic
8150-1_Combination-with-8149.mpd	Technic	A LEGO model of a vehicle with a red and gray color scheme, featuring a flatbed trailer and a roof with antennas.	LEGO, vehicle, red, gray, antennas
8150-1.mpd	Technic	A red and black Technic model car with a sleek design and detailed features.	Technic, car, red, black, sleek
8151-1_Combination-with-8148.mpd	Technic	A detailed model of a construction vehicle with a crane and various attachments.	construction vehicle, crane, attachments, model, technic
8151-1.mpd	Technic	A detailed model of a police vehicle with a roof rack and emergency lights.	police vehicle, emergency lights, roof rack, model, technic
8152-1.mpd	Vehicles	A collection of toy vehicles, including a helicopter and a police car, displayed in an isometric view.	toy vehicles, isometric view, helicopter, police car, toy collection
8154-1.mpd	Technic	A collection of various model vehicles and a building with a crane.	model vehicles, building, crane, transport, construction
8156-1.mpd	Technic	A red sports car model with a sleek design and aerodynamic features.	sports car, red, sleek, aerodynamic, model
8158-1.mpd	Technic	A model of a race car in two different configurations, one with a yellow body and the other with a red body.	race car, model, yellow, red, configurations
8159-1.mpd	Technic	Two toy sports cars, one red and one yellow, with detailed components and a sleek design.	toy cars, sports cars, red car, yellow car, sleek design
8160-1.mpd	Technic	A red and gray Technic model truck with a flatbed carrying a yellow sports car.	Technic, truck, sports car, flatbed, model
8161-1.mpd	Technic	A collection of model vehicles and structures, including a race car, a crane, and a race track setup.	race car, crane, race track, model vehicles, construction site
8169-1.mpd	Technic	Three yellow Technic model cars arranged in a row.	yellow, Technic, cars, model, arrangement
8182-1.mpd	Technic	A collection of toy vehicles and a crane set up in a display.	toy vehicles, crane, display, collection, technic
8186-1.mpd	Technic	A collection of various vehicles and a crane on a platform.	crane, platform, vehicles, collection, technic
8192-1_Combination-with-8194.mpd	Technic	A LEGO model of a vehicle with a blue and green color scheme, featuring a flatbed trailer and a crane attachment.	LEGO, vehicle, crane, flatbed, construction
8192-1.mpd	Technic	A model of a vehicle with a green and black color scheme, featuring large wheels and a flatbed structure.	vehicle, model, green, black, wheels
8193-1_Combination-with-8195.mpd	Technic	A red and black vehicle with a crane attachment, featuring a detailed mechanical design.	crane attachment, red vehicle, black vehicle, mechanical design, crane
8193-1.mpd	Technic	A sleek, futuristic race car model.	futuristic, race car, model, technic, car
8194-1_Combination-with-8192.mpd	Technic	A LEGO model of a construction vehicle with a crane attachment.	LEGO, construction vehicle, crane, model, technic
8194-1.mpd	Technic	A model of a police car with a sleek design and a roof rack.	police car, sleek design, roof rack, model, technic
8195-1_Combination-with-8193.mpd	Technic	A red and black vehicle with a crane attachment, featuring a detailed and realistic design.	crane attachment, red vehicle, black vehicle, realistic design, construction vehicle
8195-1.mpd	Technic	A red and gray LEGO vehicle with a crane attachment.	LEGO, crane, construction, vehicle, red
8196-1.mpd	Technic	A model of a construction site with a crane, a truck, and various construction materials.	construction site, crane, truck, construction materials, model
8197-1.mpd	Technic	A model of a fire truck with a ladder extended, a firefighter figure, and a tree.	fire truck, firefighter, ladder, tree, model
8198-1.mpd	Vehicles	A red fire truck with an extended ladder, a white van with green containers, and a person standing next to the van.	fire truck, red fire truck, extended ladder, white van, green containers
8199-1.mpd	Technic	A model of a truck with a cargo container, surrounded by various mechanical components and tools.	truck, cargo container, mechanical components, tools, model
8202-1_B-Model.mpd	Technic	A model of a vehicle with a bungee mechanism, featuring a blue and yellow color scheme.	bungee chopper, model, vehicle, bungee mechanism, blue and yellow
8202-1.mpd	Technic	A model of a Bungee Chopper with a blue and yellow color scheme.	Bungee Chopper, model, blue, yellow, chopper
